Region,MainSourceofIncome,AgriculturalHouseholdindicator,ImputedHouseRentalValue,HouseholdHeadSex,HouseholdHeadAge,HouseholdHeadMaritalStatus,HouseholdHeadHighestGradeCompleted,HouseholdHeadJoborBusinessIndicator,HouseholdHeadOccupation,HouseholdHeadClassofWorker,TypeofHousehold,TotalNumberofFamilymembers,Memberswithagelessthan5yearold,Memberswithage517yearsold,Totalnumberoffamilymembersemployed,Electricity,MainSourceofWaterSupply,TotalMovableAssests,Dependants,HouseSpacePerPerson,MovableMerchPerPerson,TotalNecessaryExpenditure,TotalUnnecessaryExpenditure,CurrentTaxPaid,PredNecessaryExp,PredUnnecessaryExp,AdjustedTax
2,2,0,21000,1,53,2,21,1,277,4,1,4,0,0,3,1,0,14,1,10.75,3.5,143865,161806,75792.0,97567.48832014321,144794.29414432042,112478.54516636823
8,2,0,6000,1,39,2,21,1,277,3,1,5,0,3,1,1,3,7,4,3.0,1.4,128368,93980,15218.0,91888.45934068339,75324.11493130236,12474.715423997164
9,2,2,42000,1,56,2,28,1,37,4,0,9,0,4,5,1,3,9,4,22.22222222222222,1.0,146130,98409,84973.5,130810.74173796263,127352.12194428263,82726.81119498593
3,2,0,16200,1,68,2,4,0,359,2,0,7,0,2,2,1,8,6,5,7.857142857142857,0.8571428571428571,93965,39354,6789.8,102915.9237255117,56012.41606896001,3695.3766614325136
10,0,0,2400,1,38,2,6,1,171,4,1,9,1,3,4,1,3,10,5,2.4444444444444446,1.1111111111111112,96178,103545,31585.0,135611.00962267446,101100.36667757634,23547.16693280432
3,1,0,33000,0,48,1,41,0,359,2,0,4,1,0,2,1,4,9,2,25.0,2.25,81352,106271,92024.5,78159.56994351548,79196.13762607287,93244.94712851464
4,0,1,18000,1,61,2,6,1,287,0,1,4,0,0,3,1,4,4,1,15.0,1.0,92668,18793,7624.0,81991.01011944018,59700.16782455681,5551.268106483584
11,2,0,36000,1,48,2,8,1,148,4,0,6,0,1,3,1,3,11,3,11.666666666666666,1.8333333333333333,132651,162751,91143.75,110654.66855389407,121127.4568070616,99769.94902823835
9,1,2,66000,1,49,2,2,1,131,1,0,6,0,1,0,1,3,9,6,13.333333333333334,1.5,116487,50183,6604.0,101161.7062719585,88619.31781599374,5785.212571281518
9,1,2,60000,0,83,5,36,1,129,1,0,5,1,1,0,1,3,4,5,14.0,0.8,71482,24400,38091.0,81855.18566161185,48075.2531279067,22371.63659325618
12,1,0,138000,0,75,5,6,1,129,1,1,3,0,0,0,1,3,11,3,60.0,3.6666666666666665,83243,35058,43952.25,88723.73299672465,104731.73358573148,51882.34514054316
9,2,2,51000,0,56,3,0,1,292,4,1,2,0,0,1,1,3,4,1,17.0,2.0,23227,96284,592.0,54221.66479370641,71691.39020206836,782.7369956473689
4,2,0,15000,1,49,2,6,1,189,3,0,8,0,3,4,1,4,12,4,11.0,1.5,107170,107719,28257.600000000002,129270.46998790774,129522.46971166613,28312.685336927618
15,0,1,24000,1,49,2,6,1,120,0,1,3,0,0,1,1,8,8,2,20.0,2.6666666666666665,111422,58058,4729.0,80599.40817141152,69000.02500197646,4048.4306974115625
16,2,0,9000,1,41,2,43,1,287,1,1,5,1,2,1,1,4,6,4,2.6,1.2,108905,94739,18297.4,91530.21326919096,67581.13876647587,13509.846468170974
10,2,1,5100,1,50,2,6,1,103,4,0,17,2,5,6,1,8,1,11,1.8823529411764706,0.058823529411764705,213406,33251,162.8,167327.0559736044,53545.7899115187,52.097101373554196
5,2,0,18000,1,58,2,21,1,350,3,0,5,0,0,4,1,9,6,1,20.0,1.2,91004,56424,2403.6,91986.10482071222,83685.87725852053,2186.7147757873995
6,2,0,150000,1,45,2,4,1,35,4,1,5,0,1,3,1,3,13,2,16.0,2.6,109762,138922,109827.5,106725.47032837909,152280.43353350472,156706.5412074722
9,2,2,42000,1,64,2,6,1,281,3,1,4,0,0,3,1,3,7,1,12.5,1.75,100382,87526,20020.0,84983.19383294097,104668.76258141776,24657.447341873652
9,2,2,30000,0,61,5,21,0,359,2,1,2,0,0,1,1,3,7,1,15.0,3.5,75704,56084,2047.0,54666.83475868012,86205.77301407002,3227.9757578571366
12,1,0,60000,1,56,2,6,1,158,1,0,8,2,0,2,1,3,16,6,8.25,2.0,102455,67079,14593.400000000001,137613.1192505941,138369.13523786265,14673.572906251138
11,1,0,21000,0,37,2,4,1,302,4,1,3,0,2,1,1,4,6,2,8.0,2.0,48673,38754,60925.0,72607.95016019652,63240.13667327027,53064.51040579222
8,2,0,15000,1,52,2,41,1,296,3,1,4,0,1,2,1,3,9,2,9.0,2.25,95198,101670,83792.5,90353.9958794466,98087.17478002897,90964.09641607449
16,2,0,30000,1,56,2,21,1,37,5,1,4,0,0,2,1,3,5,2,9.0,1.25,60294,62870,24053.2,81463.0393509744,67865.11591826136,20038.206519305357
5,2,0,12000,1,67,2,43,1,124,1,0,5,0,1,1,1,3,4,4,26.4,0.8,82161,73847,1446.8000000000002,84202.94694994214,44744.70822976238,768.8168432549701
11,2,0,42000,1,36,2,5,1,37,4,1,4,0,1,1,1,4,10,3,7.5,2.5,79658,84364,26555.600000000002,86409.18848649811,100356.91891618723,30842.069491106584
5,0,0,21000,1,29,2,38,1,129,1,1,3,1,0,0,1,3,8,3,20.0,2.6666666666666665,110151,37786,6399.6,69735.0520809219,60953.89603292638,5593.751512505629
4,2,0,18000,1,57,2,6,0,359,2,0,7,0,3,1,1,3,4,6,12.857142857142858,0.5714285714285714,86747,47277,622.8000000000001,96145.12070219043,40797.36675357863,264.2734215585617
16,2,0,15000,1,68,2,21,1,179,1,0,10,3,0,3,1,8,9,7,2.3,0.9,104902,89690,9720.0,135428.9111722378,87436.86909162313,6275.516506883051
14,2,0,30000,1,46,2,42,1,331,1,0,5,0,1,1,1,3,4,4,8.6,0.8,275050,64291,1755.2,87728.9780183568,55894.52427298386,1118.285784469222
1,0,0,24000,1,47,2,21,1,314,7,0,9,1,3,1,1,6,12,8,7.777777777777778,1.3333333333333333,84027,86600,37062.5,134381.63762953502,82430.04777639764,22734.23437609069
7,2,0,105000,1,52,2,8,1,17,4,0,8,1,1,3,1,3,10,5,15.0,1.25,116131,100072,48393.5,120266.60640911043,116420.30975533309,46845.807230808554
9,2,2,36000,1,46,2,5,1,128,1,1,3,0,1,1,1,3,8,2,10.0,2.6666666666666665,97313,114522,21396.0,71386.8158338907,97224.86094092383,29140.158450720894
12,1,0,60000,1,74,2,20,1,302,3,1,2,0,0,2,1,3,26,0,50.0,13.0,188939,1012557,-852170.56,93647.15643202513,171165.6270665797,-1557573.2764075354
9,2,2,24000,1,50,2,21,1,37,4,1,4,0,2,2,1,7,7,2,5.0,1.75,76996,68791,16110.2,79456.91866341376,87537.85402755805,17748.641146389204
9,2,2,120000,1,27,3,5,1,219,4,1,2,0,0,2,1,3,12,0,36.0,6.0,59086,343550,197596.9,65342.73170831641,151671.31966422414,458655.18323203747
5,2,0,12000,0,48,5,21,0,359,2,0,10,2,3,4,1,8,5,6,5.0,0.5,117756,100136,12379.6,116299.96440894803,72509.27376613244,7718.2809992859275
9,1,2,21000,1,49,2,16,1,128,1,0,6,0,2,1,1,7,9,5,3.5,1.5,99813,75493,5694.0,102116.81848526551,85148.70885531323,4747.8638231577
2,0,1,2700,1,57,2,21,1,124,0,0,4,0,0,2,1,0,9,2,10.0,2.25,68015,17727,15219.400000000001,85216.72881780178,83621.14894547609,14934.43519736373
2,1,0,102000,0,42,2,21,0,359,2,1,3,0,1,0,1,3,7,3,13.333333333333334,2.3333333333333335,77430,28723,75500.0,67060.69619474951,66460.5242025924,74824.29891159688
1,2,0,51000,1,60,2,18,1,129,1,1,9,0,0,2,1,6,21,7,14.444444444444445,2.3333333333333335,119380,153740,139117.6,160596.56245444535,187665.96213642077,162566.6070001679
5,2,0,30000,1,60,2,6,1,362,1,0,11,0,1,2,1,4,9,9,20.363636363636363,0.8181818181818182,166663,108408,59037.25,147804.16969357658,96342.97649853285,38482.164617411305
9,2,2,51000,1,50,2,4,1,37,5,1,3,0,0,5,1,3,9,-2,7.0,3.0,79280,199670,117373.5,75643.922595927,137132.11623338246,212782.14947548977
9,2,2,21000,1,58,2,21,1,128,0,1,4,0,0,1,1,7,4,3,5.0,1.0,92905,80834,5294.0,74088.7688417365,62169.969801079504,4442.344302278472
9,1,2,21600,1,52,2,16,1,149,1,1,3,0,1,0,1,7,6,3,8.333333333333334,2.0,39614,104978,35059.0,70051.09055648759,59385.652996428056,29721.18766263736
4,1,0,60000,0,68,5,17,1,103,4,0,2,0,0,3,1,3,7,-1,71.5,3.5,187970,35828,22244.0,62846.62314845581,85434.84433470019,30238.898801164396
10,1,0,36000,1,67,2,35,0,359,2,1,7,0,3,1,1,4,9,6,4.285714285714286,1.2857142857142858,108069,98319,470591.8,120900.61871318982,80505.23575912266,313357.40220803994
4,2,0,36000,1,55,2,21,1,287,0,1,7,1,2,4,1,3,7,3,25.714285714285715,1.0,90538,27109,2928.6000000000004,111035.51183201082,100391.58473511586,2647.8627441288572
5,2,0,18000,1,47,2,21,1,67,4,1,7,0,1,5,1,3,6,2,4.285714285714286,0.8571428571428571,105054,88852,5325.6,105595.53666497188,99455.24764027007,5015.920971295377
4,0,0,9000,1,55,2,21,1,287,0,0,6,0,1,1,1,8,15,5,16.333333333333332,2.5,133291,130089,75129.25,123038.6333318579,108624.92661879944,66328.0227289583
10,0,0,18000,1,49,2,41,1,129,0,1,2,0,0,0,1,3,10,2,40.0,5.0,96234,220612,197622.7,71186.18194120713,72874.0683779588,202308.50651227697
